name,position,value,teamName,teamId
Alisson,Goalkeeper,€80.00m  ,Liverpool,1612
Simon Mignolet,Goalkeeper,€8.00m  ,Liverpool,1612
Loris Karius,Goalkeeper,€5.00m  ,Liverpool,1612
Ádám Bogdán,Goalkeeper,€500Th.  ,Liverpool,1612
Kamil Grabara,Goalkeeper,€400Th.  ,Liverpool,1612
Caoimhin Kelleher,Goalkeeper, ,Liverpool,1612
Virgil van Dijk,Centre-Back,€90.00m  ,Liverpool,1612
Joe Gomez,Centre-Back,€35.00m  ,Liverpool,1612
Joel Matip,Centre-Back,€30.00m  ,Liverpool,1612
Dejan Lovren,Centre-Back,€20.00m  ,Liverpool,1612
Andrew Robertson,Left-Back,€60.00m  ,Liverpool,1612
Alberto Moreno,Left-Back,€9.00m  ,Liverpool,1612
Trent Alexander-Arnold,Right-Back,€80.00m  ,Liverpool,1612
Nathaniel Clyne,Right-Back,€12.00m  ,Liverpool,1612
Connor Randall,Right-Back,€500Th.  ,Liverpool,1612
Ki-Jana Hoever,Right-Back, ,Liverpool,1612
Fabinho,Defensive Midfield,€50.00m  ,Liverpool,1612
Naby Keïta,Central Midfield,€60.00m  ,Liverpool,1612
Georginio Wijnaldum,Central Midfield,€50.00m  ,Liverpool,1612
Jordan Henderson,Central Midfield,€35.00m  ,Liverpool,1612
Alex Oxlade-Chamberlain,Central Midfield,€35.00m  ,Liverpool,1612
Marko Grujic,Central Midfield,€20.00m  ,Liverpool,1612
James Milner,Central Midfield,€15.00m  ,Liverpool,1612
Curtis Jones,Central Midfield, ,Liverpool,1612
Adam Lallana,Attacking Midfield,€15.00m  ,Liverpool,1612
Ben Woodburn,Attacking Midfield,€5.00m  ,Liverpool,1612
Isaac Christie-Davies,Attacking Midfield, ,Liverpool,1612
Sadio Mané,Left Winger,€120.00m  ,Liverpool,1612
Mohamed Salah,Right Winger,€150.00m  ,Liverpool,1612
Xherdan Shaqiri,Right Winger,€25.00m  ,Liverpool,1612
Harry Wilson,Right Winger,€12.00m  ,Liverpool,1612
Sheyi Ojo,Right Winger,€2.00m  ,Liverpool,1612
Rafael Camacho,Right Winger, ,Liverpool,1612
Roberto Firmino,Centre-Forward,€80.00m  ,Liverpool,1612
Divock Origi,Centre-Forward,€20.00m  ,Liverpool,1612
Dominic Solanke,Centre-Forward,€18.00m  ,Liverpool,1612
Danny Ings,Centre-Forward,€15.00m  ,Liverpool,1612
Daniel Sturridge,Centre-Forward,€15.00m  ,Liverpool,1612
Rhian Brewster,Centre-Forward, ,Liverpool,1612
Ederson,Goalkeeper,€70.00m  ,Manchester City,1625
Claudio Bravo,Goalkeeper,€2.50m  ,Manchester City,1625
Arijanet Muric,Goalkeeper,€2.00m  ,Manchester City,1625
Daniel Grimshaw,Goalkeeper, ,Manchester City,1625
Aymeric Laporte,Centre-Back,€75.00m  ,Manchester City,1625
John Stones,Centre-Back,€60.00m  ,Manchester City,1625
Nicolás Otamendi,Centre-Back,€25.00m  ,Manchester City,1625
Eliaquim Mangala,Centre-Back,€10.00m  ,Manchester City,1625
Vincent Kompany,Centre-Back,€8.00m  ,Manchester City,1625
Philippe Sandler,Centre-Back,€2.50m  ,Manchester City,1625
Pablo Marí,Centre-Back,€800Th.  ,Manchester City,1625
Erik Palmer-Brown,Centre-Back,€600Th.  ,Manchester City,1625
Eric García,Centre-Back, ,Manchester City,1625
Cameron Humphreys,Centre-Back, ,Manchester City,1625
Benjamin Mendy,Left-Back,€35.00m  ,Manchester City,1625
Oleksandr Zinchenko,Left-Back,€20.00m  ,Manchester City,1625
Kyle Walker,Right-Back,€50.00m  ,Manchester City,1625
Danilo,Right-Back,€20.00m  ,Manchester City,1625
Fernandinho,Defensive Midfield,€12.00m  ,Manchester City,1625
Douglas Luiz,Defensive Midfield,€2.50m  ,Manchester City,1625
Luke Brattan,Defensive Midfield,€500Th.  ,Manchester City,1625
Claudio Gomes,Defensive Midfield, ,Manchester City,1625
Ilkay Gündogan,Central Midfield,€50.00m  ,Manchester City,1625
Phil Foden,Central Midfield,€25.00m  ,Manchester City,1625
Fabian Delph,Central Midfield,€15.00m  ,Manchester City,1625
Aleix García,Central Midfield,€3.00m  ,Manchester City,1625
Mix Diskerud,Central Midfield,€1.00m  ,Manchester City,1625
Anthony Cáceres,Central Midfield,€350Th.  ,Manchester City,1625
Taylor Richards,Central Midfield, ,Manchester City,1625
Luke Bolton,, ,Manchester City,1625
Kevin De Bruyne,Attacking Midfield,€130.00m  ,Manchester City,1625
David Silva,Attacking Midfield,€20.00m  ,Manchester City,1625
Brahim Díaz,Attacking Midfield,€17.00m  ,Manchester City,1625
Luka Ilic,Attacking Midfield,€1.00m  ,Manchester City,1625
Felix Nmecha,Attacking Midfield, ,Manchester City,1625
Adrián Bernabé,Attacking Midfield, ,Manchester City,1625
Raheem Sterling,Left Winger,€140.00m  ,Manchester City,1625
Leroy Sané,Left Winger,€100.00m  ,Manchester City,1625
Jack Harrison,Left Winger,€4.00m  ,Manchester City,1625
Marlos Moreno,Left Winger,€700Th.  ,Manchester City,1625
Bernardo Silva,Right Winger,€100.00m  ,Manchester City,1625
Riyad Mahrez,Right Winger,€60.00m  ,Manchester City,1625
Patrick Roberts,Right Winger,€5.00m  ,Manchester City,1625
Ian Poveda,Right Winger, ,Manchester City,1625
Gabriel Jesus,Centre-Forward,€70.00m  ,Manchester City,1625
Sergio Agüero,Centre-Forward,€65.00m  ,Manchester City,1625
Kepa,Goalkeeper,€60.00m  ,Chelsea,1610
Willy Caballero,Goalkeeper,€1.00m  ,Chelsea,1610
Eduardo,Goalkeeper,€750Th.  ,Chelsea,1610
Jamal Blackman,Goalkeeper,€500Th.  ,Chelsea,1610
Rob Green,Goalkeeper,€250Th.  ,Chelsea,1610
Jamie Cumming,Goalkeeper, ,Chelsea,1610
Marcin Bulka,Goalkeeper, ,Chelsea,1610
Antonio Rüdiger,Centre-Back,€50.00m  ,Chelsea,1610
Andreas Christensen,Centre-Back,€30.00m  ,Chelsea,1610
Kurt Zouma,Centre-Back,€25.00m  ,Chelsea,1610
David Luiz,Centre-Back,€20.00m  ,Chelsea,1610
Ethan Ampadu,Centre-Back,€10.00m  ,Chelsea,1610
Gary Cahill,Centre-Back,€8.00m  ,Chelsea,1610
Kenneth Omeruo,Centre-Back,€5.00m  ,Chelsea,1610
Tomas Kalas,Centre-Back,€4.00m  ,Chelsea,1610
Michael Hector,Centre-Back,€3.00m  ,Chelsea,1610
Matt Miazga,Centre-Back,€3.00m  ,Chelsea,1610
Marc Guehi,Centre-Back, ,Chelsea,1610
Marcos Alonso,Left-Back,€40.00m  ,Chelsea,1610
Emerson,Left-Back,€15.00m  ,Chelsea,1610
Abdul Rahman Baba,Left-Back,€5.00m  ,Chelsea,1610
César Azpilicueta,Right-Back,€35.00m  ,Chelsea,1610
Davide Zappacosta,Right-Back,€15.00m  ,Chelsea,1610
Ola Aina,Right-Back,€10.00m  ,Chelsea,1610
Todd Kane,Right-Back,€1.00m  ,Chelsea,1610
Jorginho,Defensive Midfield,€65.00m  ,Chelsea,1610
Tiemoué Bakayoko,Defensive Midfield,€35.00m  ,Chelsea,1610
N'Golo Kanté,Central Midfield,€100.00m  ,Chelsea,1610
Mateo Kovacic,Central Midfield,€35.00m  ,Chelsea,1610
Ross Barkley,Central Midfield,€30.00m  ,Chelsea,1610
Ruben Loftus-Cheek,Central Midfield,€30.00m  ,Chelsea,1610
Cesc Fàbregas,Central Midfield,€15.00m  ,Chelsea,1610
Mario Pasalic,Central Midfield,€10.00m  ,Chelsea,1610
Marco van Ginkel,Central Midfield,€10.00m  ,Chelsea,1610
Danny Drinkwater,Central Midfield,€8.00m  ,Chelsea,1610
Lewis Baker,Central Midfield,€4.00m  ,Chelsea,1610
Danilo Pantic,Central Midfield,€2.75m  ,Chelsea,1610
Conor Gallagher,Central Midfield, ,Chelsea,1610
George McEachran,Central Midfield, ,Chelsea,1610
Victor Moses,,€11.00m  ,Chelsea,1610
Charly Musonda Jr.,Attacking Midfield,€2.00m  ,Chelsea,1610
Eden Hazard,Left Winger,€150.00m  ,Chelsea,1610
Christian Pulisic,Left Winger,€60.00m  ,Chelsea,1610
Callum Hudson-Odoi,Left Winger,€35.00m  ,Chelsea,1610
Kenedy,Left Winger,€10.00m  ,Chelsea,1610
Lucas Piazón,Left Winger,€1.50m  ,Chelsea,1610
Nathan,Left Winger,€900Th.  ,Chelsea,1610
Willian,Right Winger,€40.00m  ,Chelsea,1610
Pedro,Right Winger,€20.00m  ,Chelsea,1610
Álvaro Morata,Centre-Forward,€50.00m  ,Chelsea,1610
Gonzalo Higuaín,Centre-Forward,€35.00m  ,Chelsea,1610
Michy Batshuayi,Centre-Forward,€30.00m  ,Chelsea,1610
Tammy Abraham,Centre-Forward,€20.00m  ,Chelsea,1610
Olivier Giroud,Centre-Forward,€15.00m  ,Chelsea,1610
David de Gea,Goalkeeper,€65.00m  ,Manchester United,1611
Sergio Romero,Goalkeeper,€3.50m  ,Manchester United,1611
Joel Pereira,Goalkeeper,€850Th.  ,Manchester United,1611
Lee Grant,Goalkeeper,€750Th.  ,Manchester United,1611
Victor Lindelöf,Centre-Back,€35.00m  ,Manchester United,1611
Eric Bailly,Centre-Back,€25.00m  ,Manchester United,1611
Phil Jones,Centre-Back,€20.00m  ,Manchester United,1611
Chris Smalling,Centre-Back,€20.00m  ,Manchester United,1611
Marcos Rojo,Centre-Back,€12.00m  ,Manchester United,1611
Axel Tuanzebe,Centre-Back,€7.00m  ,Manchester United,1611
Luke Shaw,Left-Back,€30.00m  ,Manchester United,1611
Cameron Borthwick-Jackson,Left-Back,€1.00m  ,Manchester United,1611
Brandon Williams,Left-Back, ,Manchester United,1611
Diogo Dalot,Right-Back,€20.00m  ,Manchester United,1611
Matteo Darmian,Right-Back,€10.00m  ,Manchester United,1611
Timothy Fosu-Mensah,Right-Back,€7.00m  ,Manchester United,1611
Antonio Valencia,Right-Back,€5.00m  ,Manchester United,1611
Nemanja Matic,Defensive Midfield,€30.00m  ,Manchester United,1611
James Garner,Defensive Midfield, ,Manchester United,1611
Paul Pogba,Central Midfield,€100.00m  ,Manchester United,1611
Fred,Central Midfield,€30.00m  ,Manchester United,1611
Ander Herrera,Central Midfield,€25.00m  ,Manchester United,1611
Marouane Fellaini,Central Midfield,€12.00m  ,Manchester United,1611
Scott McTominay,Central Midfield,€12.00m  ,Manchester United,1611
Ashley Young,,€5.00m  ,Manchester United,1611
Jesse Lingard,Attacking Midfield,€40.00m  ,Manchester United,1611
Juan Mata,Attacking Midfield,€20.00m  ,Manchester United,1611
Andreas Pereira,Attacking Midfield,€10.00m  ,Manchester United,1611
Angel Gomes,Attacking Midfield, ,Manchester United,1611
Marcus Rashford,Left Winger,€80.00m  ,Manchester United,1611
Tahith Chong,Right Winger, ,Manchester United,1611
Mason Greenwood,Right Winger, ,Manchester United,1611
Romelu Lukaku,Centre-Forward,€75.00m  ,Manchester United,1611
Anthony Martial,Centre-Forward,€60.00m  ,Manchester United,1611
Alexis Sánchez,Centre-Forward,€35.00m  ,Manchester United,1611
James Wilson,Centre-Forward,€1.50m  ,Manchester United,1611
Hugo Lloris,Goalkeeper,€25.00m  ,Tottenham Hotspur,1624
Paulo Gazzaniga,Goalkeeper,€2.00m  ,Tottenham Hotspur,1624
Michel Vorm,Goalkeeper,€1.00m  ,Tottenham Hotspur,1624
Alfie Whiteman,Goalkeeper, ,Tottenham Hotspur,1624
Davinson Sánchez,Centre-Back,€55.00m  ,Tottenham Hotspur,1624
Toby Alderweireld,Centre-Back,€40.00m  ,Tottenham Hotspur,1624
Jan Vertonghen,Centre-Back,€28.00m  ,Tottenham Hotspur,1624
Juan Foyth,Centre-Back,€15.00m  ,Tottenham Hotspur,1624
Cameron Carter-Vickers,Centre-Back,€1.50m  ,Tottenham Hotspur,1624
Timothy Eyoma,Centre-Back, ,Tottenham Hotspur,1624
Danny Rose,Left-Back,€25.00m  ,Tottenham Hotspur,1624
Ben Davies,Left-Back,€25.00m  ,Tottenham Hotspur,1624
Kieran Trippier,Right-Back,€35.00m  ,Tottenham Hotspur,1624
Serge Aurier,Right-Back,€18.00m  ,Tottenham Hotspur,1624
Kyle Walker-Peters,Right-Back,€3.50m  ,Tottenham Hotspur,1624
Eric Dier,Defensive Midfield,€40.00m  ,Tottenham Hotspur,1624
Victor Wanyama,Defensive Midfield,€20.00m  ,Tottenham Hotspur,1624
Oliver Skipp,Defensive Midfield,€5.00m  ,Tottenham Hotspur,1624
Luke Amos,Defensive Midfield,€100Th.  ,Tottenham Hotspur,1624
George Marsh,Defensive Midfield, ,Tottenham Hotspur,1624
Harry Winks,Central Midfield,€25.00m  ,Tottenham Hotspur,1624
Moussa Sissoko,Central Midfield,€25.00m  ,Tottenham Hotspur,1624
Mousa Dembélé,Central Midfield,€12.00m  ,Tottenham Hotspur,1624
Christian Eriksen,Attacking Midfield,€100.00m  ,Tottenham Hotspur,1624
Dele Alli,Attacking Midfield,€90.00m  ,Tottenham Hotspur,1624
Josh Onomah,Attacking Midfield,€3.00m  ,Tottenham Hotspur,1624
Heung-min Son,Left Winger,€80.00m  ,Tottenham Hotspur,1624
Georges-Kevin N'Koudou,Left Winger,€5.00m  ,Tottenham Hotspur,1624
Lucas Moura,Right Winger,€40.00m  ,Tottenham Hotspur,1624
Erik Lamela,Right Winger,€18.00m  ,Tottenham Hotspur,1624
Harry Kane,Centre-Forward,€150.00m  ,Tottenham Hotspur,1624
Vincent Janssen,Centre-Forward,€8.00m  ,Tottenham Hotspur,1624
Fernando Llorente,Centre-Forward,€3.50m  ,Tottenham Hotspur,1624
Kazaiah Sterling,Centre-Forward, ,Tottenham Hotspur,1624
Bernd Leno,Goalkeeper,€30.00m  ,Arsenal,1609
David Ospina,Goalkeeper,€4.00m  ,Arsenal,1609
Petr Cech,Goalkeeper,€2.50m  ,Arsenal,1609
Emiliano Martínez,Goalkeeper,€2.00m  ,Arsenal,1609
Matt Macey,Goalkeeper,€250Th.  ,Arsenal,1609
Dejan Iliev,Goalkeeper, ,Arsenal,1609
Shkodran Mustafi,Centre-Back,€25.00m  ,Arsenal,1609
Sokratis,Centre-Back,€20.00m  ,Arsenal,1609
Calum Chambers,Centre-Back,€14.00m  ,Arsenal,1609
Rob Holding,Centre-Back,€12.00m  ,Arsenal,1609
Laurent Koscielny,Centre-Back,€8.00m  ,Arsenal,1609
Konstantinos Mavropanos,Centre-Back,€3.00m  ,Arsenal,1609
Julio Pleguezuelo,Centre-Back,€300Th.  ,Arsenal,1609
Zech Medley,Centre-Back, ,Arsenal,1609
Sead Kolasinac,Left-Back,€20.00m  ,Arsenal,1609
Nacho Monreal,Left-Back,€8.00m  ,Arsenal,1609
Héctor Bellerín,Right-Back,€40.00m  ,Arsenal,1609
Ainsley Maitland-Niles,Right-Back,€12.00m  ,Arsenal,1609
Carl Jenkinson,Right-Back,€2.00m  ,Arsenal,1609
Stephan Lichtsteiner,Right-Back,€1.50m  ,Arsenal,1609
Jordi Osei-Tutu,Right-Back, ,Arsenal,1609
Lucas Torreira,Defensive Midfield,€55.00m  ,Arsenal,1609
Granit Xhaka,Defensive Midfield,€45.00m  ,Arsenal,1609
Mohamed Elneny,Defensive Midfield,€8.00m  ,Arsenal,1609
Krystian Bielik,Defensive Midfield,€2.00m  ,Arsenal,1609
Charlie Gilmour,Defensive Midfield, ,Arsenal,1609
Aaron Ramsey,Central Midfield,€40.00m  ,Arsenal,1609
Mattéo Guendouzi,Central Midfield,€35.00m  ,Arsenal,1609
Joe Willock,Central Midfield, ,Arsenal,1609
Henrikh Mkhitaryan,Attacking Midfield,€25.00m  ,Arsenal,1609
Mesut Özil,Attacking Midfield,€25.00m  ,Arsenal,1609
Denis Suárez,Attacking Midfield,€12.00m  ,Arsenal,1609
Emile Smith Rowe,Attacking Midfield,€4.00m  ,Arsenal,1609
Alex Iwobi,Left Winger,€25.00m  ,Arsenal,1609
Takuma Asano,Left Winger,€1.50m  ,Arsenal,1609
Bukayo Saka,Left Winger, ,Arsenal,1609
Reiss Nelson,Right Winger,€17.00m  ,Arsenal,1609
Alexandre Lacazette,Centre-Forward,€70.00m  ,Arsenal,1609
Pierre-Emerick Aubameyang,Centre-Forward,€70.00m  ,Arsenal,1609
Danny Welbeck,Centre-Forward,€12.00m  ,Arsenal,1609
Eddie Nketiah,Centre-Forward,€8.00m  ,Arsenal,1609
Tyreece John-Jules,Centre-Forward, ,Arsenal,1609
Jordan Pickford,Goalkeeper,€40.00m  ,Everton,1623
Maarten Stekelenburg,Goalkeeper,€1.00m  ,Everton,1623
João Virgínia,Goalkeeper,€500Th.  ,Everton,1623
Michael Keane,Centre-Back,€30.00m  ,Everton,1623
Kurt Zouma,Centre-Back,€25.00m  ,Everton,1623
Yerry Mina,Centre-Back,€25.00m  ,Everton,1623
Mason Holgate,Centre-Back,€7.00m  ,Everton,1623
Ashley Williams,Centre-Back,€2.00m  ,Everton,1623
Phil Jagielka,Centre-Back,€1.00m  ,Everton,1623
Matthew Pennington,Centre-Back,€1.00m  ,Everton,1623
Tyias Browning,Centre-Back,€850Th.  ,Everton,1623
Lucas Digne,Left-Back,€30.00m  ,Everton,1623
Leighton Baines,Left-Back,€3.50m  ,Everton,1623
Brendan Galloway,Left-Back,€1.50m  ,Everton,1623
Luke Garbutt,Left-Back,€750Th.  ,Everton,1623
Seamus Coleman,Right-Back,€15.00m  ,Everton,1623
Jonjoe Kenny,Right-Back,€5.00m  ,Everton,1623
Cuco Martina,Right-Back,€1.50m  ,Everton,1623
Idrissa Gueye,Defensive Midfield,€25.00m  ,Everton,1623
Morgan Schneiderlin,Defensive Midfield,€15.00m  ,Everton,1623
Muhamed Besic,Defensive Midfield,€5.00m  ,Everton,1623
André Gomes,Central Midfield,€28.00m  ,Everton,1623
Tom Davies,Central Midfield,€15.00m  ,Everton,1623
James McCarthy,Central Midfield,€5.00m  ,Everton,1623
Beni Baningime,Central Midfield,€2.00m  ,Everton,1623
Gylfi Sigurdsson,Attacking Midfield,€35.00m  ,Everton,1623
Nikola Vlasic,Attacking Midfield,€20.00m  ,Everton,1623
Kieran Dowell,Attacking Midfield,€3.00m  ,Everton,1623
Bernard,Left Winger,€20.00m  ,Everton,1623
Ademola Lookman,Left Winger,€20.00m  ,Everton,1623
Henry Onyekuru,Left Winger,€13.00m  ,Everton,1623
Yannick Bolasie,Left Winger,€11.00m  ,Everton,1623
Theo Walcott,Right Winger,€18.00m  ,Everton,1623
Kevin Mirallas,Right Winger,€5.00m  ,Everton,1623
Shani Tarashaj,,€500Th.  ,Everton,1623
Richarlison,Centre-Forward,€50.00m  ,Everton,1623
Dominic Calvert-Lewin,Centre-Forward,€20.00m  ,Everton,1623
Cenk Tosun,Centre-Forward,€18.00m  ,Everton,1623
Oumar Niasse,Centre-Forward,€6.00m  ,Everton,1623
Sandro Ramírez,Centre-Forward,€4.00m  ,Everton,1623
Kasper Schmeichel,Goalkeeper,€12.00m  ,Leicester City,1631
Danny Ward,Goalkeeper,€8.00m  ,Leicester City,1631
Eldin Jakupovic,Goalkeeper,€750Th.  ,Leicester City,1631
Harry Maguire,Centre-Back,€50.00m  ,Leicester City,1631
Caglar Söyüncü,Centre-Back,€15.00m  ,Leicester City,1631
Filip Benkovic,Centre-Back,€11.00m  ,Leicester City,1631
Jonny Evans,Centre-Back,€10.00m  ,Leicester City,1631
Wes Morgan,Centre-Back,€2.00m  ,Leicester City,1631
Ben Chilwell,Left-Back,€35.00m  ,Leicester City,1631
Christian Fuchs,Left-Back,€3.00m  ,Leicester City,1631
Callum Elder,Left-Back,€250Th.  ,Leicester City,1631
Ricardo Pereira,Right-Back,€25.00m  ,Leicester City,1631
Danny Simpson,Right-Back,€3.50m  ,Leicester City,1631
Josh Knight,Right-Back, ,Leicester City,1631
Wilfred Ndidi,Defensive Midfield,€35.00m  ,Leicester City,1631
Nampalys Mendy,Defensive Midfield,€8.00m  ,Leicester City,1631
Daniel Amartey,Defensive Midfield,€7.00m  ,Leicester City,1631
Hamza Choudhury,Defensive Midfield,€5.00m  ,Leicester City,1631
Youri Tielemans,Central Midfield,€38.00m  ,Leicester City,1631
Adrien Silva,Central Midfield,€13.00m  ,Leicester City,1631
Vicente Iborra,Central Midfield,€9.00m  ,Leicester City,1631
Andy King,Central Midfield,€2.50m  ,Leicester City,1631
Matty James,Central Midfield,€1.50m  ,Leicester City,1631
Thakgalo Leshabela,Central Midfield,€100Th.  ,Leicester City,1631
Marc Albrighton,,€10.00m  ,Leicester City,1631
Harvey Barnes,,€12.00m  ,Leicester City,1631
James Maddison,Attacking Midfield,€40.00m  ,Leicester City,1631
Bartosz Kapustka,Attacking Midfield,€2.50m  ,Leicester City,1631
George Thomas,Attacking Midfield,€500Th.  ,Leicester City,1631
Demarai Gray,Left Winger,€20.00m  ,Leicester City,1631
Rachid Ghezzal,Right Winger,€8.00m  ,Leicester City,1631
Fousseni Diabaté,Right Winger,€3.00m  ,Leicester City,1631
Jamie Vardy,Centre-Forward,€20.00m  ,Leicester City,1631
Kelechi Iheanacho,Centre-Forward,€12.00m  ,Leicester City,1631
Islam Slimani,Centre-Forward,€5.00m  ,Leicester City,1631
Shinji Okazaki,Centre-Forward,€4.00m  ,Leicester City,1631
Leonardo Ulloa,Centre-Forward,€2.50m  ,Leicester City,1631
Lukasz Fabianski,Goalkeeper,€5.00m  ,West Ham United,1633
Adrián,Goalkeeper,€3.50m  ,West Ham United,1633
Issa Diop,Centre-Back,€35.00m  ,West Ham United,1633
Fabián Balbuena,Centre-Back,€12.00m  ,West Ham United,1633
Angelo Ogbonna,Centre-Back,€8.00m  ,West Ham United,1633
Winston Reid,Centre-Back,€5.00m  ,West Ham United,1633
Reece Oxford,Centre-Back,€4.00m  ,West Ham United,1633
Aaron Cresswell,Left-Back,€10.00m  ,West Ham United,1633
Arthur Masuaku,Left-Back,€7.00m  ,West Ham United,1633
Ryan Fredericks,Right-Back,€5.00m  ,West Ham United,1633
Sam Byram,Right-Back,€3.50m  ,West Ham United,1633
Pablo Zabaleta,Right-Back,€3.50m  ,West Ham United,1633
Ben Johnson,Right-Back, ,West Ham United,1633
Declan Rice,Defensive Midfield,€45.00m  ,West Ham United,1633
Carlos Sánchez,Defensive Midfield,€1.50m  ,West Ham United,1633
Conor Coventry,Defensive Midfield, ,West Ham United,1633
Jack Wilshere,Central Midfield,€10.00m  ,West Ham United,1633
Edimilson Fernandes,Central Midfield,€8.00m  ,West Ham United,1633
Pedro Obiang,Central Midfield,€7.00m  ,West Ham United,1633
Mark Noble,Central Midfield,€7.00m  ,West Ham United,1633
Josh Cullen,Central Midfield,€1.00m  ,West Ham United,1633
Moses Makasi,Central Midfield, ,West Ham United,1633
Manuel Lanzini,Attacking Midfield,€20.00m  ,West Ham United,1633
Samir Nasri,Attacking Midfield,€5.00m  ,West Ham United,1633
Joe Powell,Attacking Midfield, ,West Ham United,1633
Felipe Anderson,Left Winger,€40.00m  ,West Ham United,1633
Grady Diangana,Left Winger,€5.00m  ,West Ham United,1633
Nathan Holland,Left Winger, ,West Ham United,1633
Andriy Yarmolenko,Right Winger,€20.00m  ,West Ham United,1633
Robert Snodgrass,Right Winger,€7.00m  ,West Ham United,1633
Xande Silva,Right Winger,€1.00m  ,West Ham United,1633
Marko Arnautovic,Centre-Forward,€35.00m  ,West Ham United,1633
Michail Antonio,Centre-Forward,€15.00m  ,West Ham United,1633
Chicharito,Centre-Forward,€12.00m  ,West Ham United,1633
Andy Carroll,Centre-Forward,€8.00m  ,West Ham United,1633
Jordan Hugill,Centre-Forward,€6.00m  ,West Ham United,1633
Lucas Pérez,Centre-Forward,€4.00m  ,West Ham United,1633
Martin Dubravka,Goalkeeper,€7.00m  ,Newcastle United,1613
Karl Darlow,Goalkeeper,€3.50m  ,Newcastle United,1613
Rob Elliot,Goalkeeper,€1.00m  ,Newcastle United,1613
Freddie Woodman,Goalkeeper,€500Th.  ,Newcastle United,1613
Nathan Harker,Goalkeeper, ,Newcastle United,1613
Jamaal Lascelles,Centre-Back,€15.00m  ,Newcastle United,1613
Fabian Schär,Centre-Back,€8.00m  ,Newcastle United,1613
Florian Lejeune,Centre-Back,€8.00m  ,Newcastle United,1613
Federico Fernández,Centre-Back,€7.00m  ,Newcastle United,1613
Ciaran Clark,Centre-Back,€6.00m  ,Newcastle United,1613
Paul Dummett,Centre-Back,€5.00m  ,Newcastle United,1613
Lewis Cass,Centre-Back, ,Newcastle United,1613
Kelland Watts,Centre-Back, ,Newcastle United,1613
Matt Ritchie,Left-Back,€12.00m  ,Newcastle United,1613
Antonio Barreca,Left-Back,€7.00m  ,Newcastle United,1613
Achraf Lazaar,Left-Back,€1.00m  ,Newcastle United,1613
DeAndre Yedlin,Right-Back,€8.00m  ,Newcastle United,1613
Javier Manquillo,Right-Back,€5.00m  ,Newcastle United,1613
Jamie Sterry,Right-Back,€75Th.  ,Newcastle United,1613
Isaac Hayden,Defensive Midfield,€8.00m  ,Newcastle United,1613
Sung-yueng Ki,Defensive Midfield,€6.00m  ,Newcastle United,1613
Jack Colback,Defensive Midfield,€3.00m  ,Newcastle United,1613
Jonjo Shelvey,Central Midfield,€15.00m  ,Newcastle United,1613
Sean Longstaff,Central Midfield,€7.00m  ,Newcastle United,1613
Mohamed Diame,Central Midfield,€5.00m  ,Newcastle United,1613
Miguel Almirón,Attacking Midfield,€20.00m  ,Newcastle United,1613
Henri Saivet,Attacking Midfield,€1.00m  ,Newcastle United,1613
Kenedy,Left Winger,€10.00m  ,Newcastle United,1613
Christian Atsu,Left Winger,€6.00m  ,Newcastle United,1613
Rolando Aarons,Left Winger,€500Th.  ,Newcastle United,1613
Ayoze Pérez,Right Winger,€20.00m  ,Newcastle United,1613
Jacob Murphy,Right Winger,€6.00m  ,Newcastle United,1613
Callum Roberts,Right Winger,€75Th.  ,Newcastle United,1613
Dwight Gayle,Centre-Forward,€15.00m  ,Newcastle United,1613
Salomón Rondón,Centre-Forward,€15.00m  ,Newcastle United,1613
Yoshinori Muto,Centre-Forward,€9.00m  ,Newcastle United,1613
Joselu,Centre-Forward,€4.00m  ,Newcastle United,1613
Angus Gunn,Goalkeeper,€10.00m  ,Southampton,1619
Fraser Forster,Goalkeeper,€8.00m  ,Southampton,1619
Alex McCarthy,Goalkeeper,€5.00m  ,Southampton,1619
Harry Lewis,Goalkeeper,€200Th.  ,Southampton,1619
Jack Rose,Goalkeeper,€100Th.  ,Southampton,1619
Jannik Vestergaard,Centre-Back,€20.00m  ,Southampton,1619
Jan Bednarek,Centre-Back,€15.00m  ,Southampton,1619
Wesley Hoedt,Centre-Back,€12.00m  ,Southampton,1619
Jack Stephens,Centre-Back,€8.00m  ,Southampton,1619
Maya Yoshida,Centre-Back,€7.00m  ,Southampton,1619
Alfie Jones,Centre-Back,€100Th.  ,Southampton,1619
Ryan Bertrand,Left-Back,€15.00m  ,Southampton,1619
Matt Targett,Left-Back,€7.00m  ,Southampton,1619
Sam McQueen,Left-Back,€1.00m  ,Southampton,1619
Cédric Soares,Right-Back,€12.00m  ,Southampton,1619
Yan Valery,Right-Back,€7.00m  ,Southampton,1619
Kayne Ramsay,Right-Back, ,Southampton,1619
Mario Lemina,Defensive Midfield,€15.00m  ,Southampton,1619
Oriol Romeu,Defensive Midfield,€10.00m  ,Southampton,1619
Jordy Clasie,Defensive Midfield,€5.50m  ,Southampton,1619
Harrison Reed,Defensive Midfield,€2.00m  ,Southampton,1619
James Ward-Prowse,Central Midfield,€18.00m  ,Southampton,1619
Pierre-Emile Höjbjerg,Central Midfield,€15.00m  ,Southampton,1619
Steven Davis,Central Midfield,€2.00m  ,Southampton,1619
Callum Slattery,Central Midfield, ,Southampton,1619
Stuart Armstrong,Attacking Midfield,€8.00m  ,Southampton,1619
